new_omop_id	new_invalid_reason	status	OMOP_CONCEPT_ID	OMOP_CONCEPT_NAME	OMOP_QUANTITY	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS	message
		NOT-FOUND				e-rdw,punasolujenkokojakauma [%]	5188	25924	[ 0, 0, 100, 0]%	[ 0, 0.2, 32.2, 0, 0, 0, 0, 0, 67.6]%								
		UNCHECKED	0	Unmapped		ehecnho []	5796	8225	[ 100, 0, 0, 0]%	[ 0, 2.4, 0.4, 0, 0, 0, 0, 0, 97.2]%								
		UNCHECKED	0	Unmapped		u-liuskakokeet []	4471	6782	[ 100, 0, 0, 0]%	[ 0, 0.1, 0, 0, 0, 0, 0, 0, 99.9]%								
		UNCHECKED	0	Unmapped		vb-vkperus []	1322	5469	[ 100, 0, 0, 0]%	[ 0, 0, 64, 0, 0, 0, 0, 0, 36]%								
		UNCHECKED	0	Unmapped		b-pvktp []	3893	5209	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		s-ca++/7.40 []	4518	5861	[ 0, 100, 0, 0]%	[ 0, 0, 17.3, 0, 0, 0, 0, 0, 82.7]%								
		NOT-FOUND				b-neutrofiili,erillistutkimuksena [e9/l]	4648	26884	[ 0, 0, 100, 0]%	[ 0, 67.8, 31.6, 0, 0, 0, 0, 0, 0.6]%								
		UNCHECKED	0	Unmapped		f-kystat []	3775	7009	[ 100, 0, 0, 0]%	[ 0, 6.5, 5.2, 0, 0, 0, 0, 0, 88.3]%								
		UNCHECKED	0	Unmapped		u-neisseriagonorrhoeae,nukleiinihappo(kval) []	4034	5319	[ 100, 0, 0, 0]%	[ 0, 19.3, 0, 0, 0, 0, 0, 0, 80.7]%								
		UNCHECKED	0	Unmapped		osmolaliteetinestimaatti [mosm/kgh2o]	3841	5733	[ 0, 0, 100, 0]%	[ 0, 93.3, 0, 0, 0, 0, 0, 0, 6.7]%								
		UNCHECKED	0	Unmapped		-ctngnho []	6325	12007	[ 100, 0, 0, 0]%	[ 0, 1.1, 0, 0, 0, 0, 0, 0, 98.9]%								
		UNCHECKED	0	Unmapped		u-bakteeri,jatkoviljely []	5080	8781	[ 100, 0, 0, 0]%	[ 0, 2.7, 31.1, 0, 0, 0, 0, 0, 66.1]%								
		UNCHECKED	0	Unmapped		l-myelosyytit [%]	1852	5057	[ 0, 0, 100, 0]%	[ 0, 27.4, 49.7, 0, 0, 0, 0.5, 0, 22.3]%								
		NOT-FOUND				erytrosyytit,kokojakaumaindeksi,osatutk.2474 [%]	2569	12711	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				hdl-kolesteroli [mmol/l]	6157	7026	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-pvk-tkd []	1046	5227	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-perusverenkuva+trombosyytit []	38315	114189	[ 100, 0, 0, 0]%	[ 0, 13.9, 0, 0, 0, 0, 0, 0, 86.1]%								
		UNCHECKED	3018387	Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum	Arbitrary Concentration	s-mypnabg [eiu]	6172	7286	[ 0, 0, 100, 0]%	[ 0, 9.7, 17.4, 0, 0, 0, 7, 0, 65.9]%								WARNING: not APPROVED: test unit [eiu] does not agree with omop_quantity 'Arbitrary Concentration' for mapped concept 3018387 (Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum)
		UNCHECKED	0	Unmapped		rsnho []	5028	7044	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		l-metamyelosyytti []	3686	10592	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				keuhkoahtaumatautiriski(tupakoivilla) []	15640	16624	[ 100, 0, 0, 0]%	[ 0, 0, 20, 0, 0, 0, 0, 0, 80]%								
		UNCHECKED	0	Unmapped		p-bil-vt []	3913	10274	[ 100, 0, 0, 0]%	[ 0, 72, 0, 0, 0, 0, 0, 0, 28]%								
		NOT-FOUND				ab-happikyllästeisyys(hemoglobiini),eitilattava [%]	2150	9563	[ 0, 0, 100, 0]%	[ 0, 6.6, 54, 0, 1.3, 0, 7.8, 0, 30.2]%								
		UNCHECKED	0	Unmapped		-inabrsv []	13564	19021	[ 100, 0, 0, 0]%	[ 0, 6.7, 2, 0, 0, 0, 0, 0, 91.3]%								
		NOT-FOUND				fp-glukoosi,paastonäyte [mmol/l]	8085	9604	[ 0, 0, 100, 0]%	[ 0, 56.2, 0, 0, 0.1, 0, 43.7, 0, 0]%								
		UNCHECKED	0	Unmapped		b-pvk+t+n []	2353	20007	[ 100, 0, 0, 0]%	[ 0, 1.1, 0, 0, 0, 0, 0, 0, 98.9]%								
		NOT-FOUND				p-kalsium-ioni,aktuaali [mmol/l]	4960	14960	[ 0, 0, 100, 0]%	[ 0, 0.2, 0, 0, 0, 0, 0, 0, 99.8]%								
		UNCHECKED	0	Unmapped		bakteerit,virtsa []	2857	7782	[ 100, 0, 0, 0]%	[ 0, 0.4, 0, 0, 0, 0, 0, 0, 99.6]%								
		UNCHECKED	0	Unmapped		veriryhmäjarh []	4910	5251	[ 100, 0, 0, 0]%	[ 0, 0.6, 0, 0, 0, 0, 0, 0, 99.4]%								
		UNCHECKED	0	Unmapped		veriryhmävasta-aineet,seulonta []	6221	9010	[ 100, 0, 0, 0]%	[ 0, 0.1, 0.6, 0, 0, 0, 0, 0, 99.3]%								
		NOT-FOUND				e-mcv(erytrosyytit,keskitilavuus) [fl]	9397	26895	[ 0, 0, 100, 0]%	[ 0, 0, 16.7, 0, 0, 0, 0, 0, 83.3]%								
		UNCHECKED	0	Unmapped		u-partikk []	2206	5423	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		fs-kalsium,ionisoitunut []	4046	6165	[ 100, 0, 0, 0]%	[ 0, 42.3, 0, 0, 0, 0, 0, 0, 57.7]%								
		NOT-FOUND				ldl-kolesteroli [mmol/l]	8662	10891	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		p-tromboplastiiniaika,inr,tt []	1190	9455	[ 0, 100, 0, 0]%	[ 0, 0, 0, 0, 28.5, 0, 6.3, 0.1, 65.1]%								
		UNCHECKED	0	Unmapped		non-hdl(paasto) []	4927	6004	[ 0, 100, 0, 0]%	[ 0, 18.6, 0, 0, 0, 0, 10.4, 0, 71]%								
		NOT-FOUND				alkoholimaksasairausriski []	15640	16622	[ 100, 0, 0, 0]%	[ 0, 19.7, 0.3, 0, 0, 0, 0, 0, 80]%								
		UNCHECKED	0	Unmapped		sy-un�k�-o []	4413	6435	[ 100, 0, 0, 0]%	[ 0, 40.7, 0, 0, 0, 0, 0, 0, 59.3]%								
		NOT-FOUND				11564 [mmol/l]	5852	22683	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				11554 []	6498	25385	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		seeruminhappamuusaste []	1890	5649	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		b-fii-d []	6953	7659	[ 100, 0, 0, 0]%	[ 0.1, 23.4, 0, 0, 0, 0, 0, 0, 76.5]%								
		UNCHECKED	0	Unmapped		u-partikkelienperuslaskenta,koneellinen []	4885	8653	[ 100, 0, 0, 0]%	[ 0, 4.5, 0, 0, 0, 0, 0, 0, 95.5]%								
		NOT-FOUND				krooninenmunuaistenvajaatoimintariski []	15641	16625	[ 100, 0, 0, 0]%	[ 0, 18.3, 1.6, 0, 0, 0, 0, 0, 80]%								
		UNCHECKED	0	Unmapped		u-kemseul,leuk []	2186	6354	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		u-seulonta []	2030	6352	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		pt-biop []	9942	10292	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		etecnho []	5821	8250	[ 100, 0, 0, 0]%	[ 0, 2.8, 0.2, 0, 0, 0, 0, 0, 97]%								
		UNCHECKED	0	Unmapped		hdl/kol. []	9563	11551	[ 0, 100, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		vb-o2-sis [ml/l]	5643	15632	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								WARNING: not APPROVED: vb-o2-sis[ml/l] is not a valid unit: ml/l
		UNCHECKED	0	Unmapped		-inrc-vt []	5481	7677	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				p-tromboplastiiniaika,inr-tulos [1]	638	5842	[ 0, 0, 100, 0]%	[ 0, 77.7, 0, 0, 15, 0, 7.2, 0.1, 0]%								
		UNCHECKED	3000067	Parathyrin.intact [Mass/volume] in Serum or Plasma	Mass Concentration	fp-pth []	4982	9213	[ 0, 100, 0, 0]%	[ 0, 6.1, 46.3, 0, 0.2, 0, 14.2, 0, 33.2]%								
		UNCHECKED	0	Unmapped		myelosyytit []	6492	13453	[ 100, 0, 0, 0]%	[ 0, 2.2, 0, 0, 0, 0, 0, 0, 97.8]%								
		NOT-FOUND				14272 [e9/l]	9362	78909	[ 0, 0, 100, 0]%	[ 0, 0, 30.6, 0, 0, 0, 0, 0, 69.4]%								
		NOT-FOUND				l-eosonofiilit [%]	2919	5793	[ 0, 0, 100, 0]%	[ 0, 0, 19.9, 0, 0, 0, 0, 0, 80.1]%								
		UNCHECKED	0	Unmapped		u-ominaispaino []	4572	5476	[ 0, 100, 0, 0]%	[ 0, 19.6, 0, 0, 0, 0, 0, 0, 80.4]%								
		UNCHECKED	0	Unmapped		b-vr+vrab []	11016	11936	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		f-hhb []	3811	5530	[ 100, 0, 0, 0]%	[ 0.1, 4.5, 0, 0, 0, 0, 0, 0, 95.4]%								
		UNCHECKED	0	Unmapped		p-punasoluvasta-aineet []	9760	16878	[ 100, 0, 0, 0]%	[ 0, 32.1, 0, 0, 0, 0, 0, 0, 67.9]%								
		UNCHECKED	0	Unmapped		p-veriryhmävasta-aineet,seulonta []	4801	6422	[ 100, 0, 0, 0]%	[ 0, 7.1, 0, 0, 0, 0, 0, 0, 92.9]%								
		UNCHECKED	0	Unmapped		s-crp,herkkä []	6219	7580	[ 100, 0, 0, 0]%	[ 0, 54.2, 0, 0, 0, 0, 2.9, 0, 42.9]%								
		UNCHECKED	0	Unmapped		s-tr1horm []	5949	9929	[ 100, 0, 0, 0]%	[ 0, 0.5, 0, 0, 0, 0, 0, 0, 99.5]%								
		UNCHECKED	0	Unmapped		fs-ttpaka []	4677	5422	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		e-veriryhmä,tarkistus []	9095	14388	[ 100, 0, 0, 0]%	[ 0, 33.5, 0, 0, 0, 0, 0, 0, 66.5]%								
		NOT-FOUND				e-punasolujenkokojakaum [%]	36380	55540	[ 0, 0, 100, 0]%	[ 0, 11.6, 0, 0, 0, 0, 5.1, 0, 83.3]%								
		UNCHECKED	0	Unmapped		u-kemseup []	4164	5470	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		u-bakteeri,jatkoviljely,seulottunäyte []	4643	8996	[ 100, 0, 0, 0]%	[ 0, 21.2, 52.9, 0, 0, 0, 0, 0, 25.9]%								
		UNCHECKED	0	Unmapped		u-bakteerit,lausunt []	7436	15382	[ 100, 0, 0, 0]%	[ 0, 64, 0, 0, 0, 0, 0, 0, 36]%								
		UNCHECKED	0	Unmapped		-sienvr []	6693	8938	[ 100, 0, 0, 0]%	[ 0, 8.4, 0, 0, 0, 0, 0, 0, 91.6]%								
		UNCHECKED	3009542	Hematocrit [Volume Fraction] of Blood by calculation	Volume Fraction	b-hkr [fl]	5159	7241	[ 0, 0, 100, 0]%	[ 0, 53.8, 0, 0, 2.8, 0, 1.9, 0, 41.6]%								WARNING: not APPROVED: test unit [fl] does not agree with omop_quantity 'Volume Fraction' for mapped concept 3009542 (Hematocrit [Volume Fraction] of Blood by calculation)
		UNCHECKED	0	Unmapped		virtsankemiallinenseulonta []	6598	12405	[ 100, 0, 0, 0]%	[ 0, 0.5, 0, 0, 0, 0, 0, 0, 99.5]%								
		UNCHECKED	0	Unmapped		kolesteroli/hdl-suhde []	25505	33783	[ 0, 100, 0, 0]%	[ 0, 22.3, 0, 0, 0, 0, 6.9, 0, 70.8]%								
		UNCHECKED	0	Unmapped		mxd [%]	2927	14328	[ 0, 0, 100, 0]%	[ 0, 70.2, 8, 0, 0, 0, 0, 0, 21.8]%								
		UNCHECKED	0	Unmapped		p-varainr []	4532	8328	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				kemiallinenseulonta,virtsasta []	4887	13871	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				s-crp,herkkä [mg/l]	5400	6628	[ 0, 0, 100, 0]%	[ 0, 74.6, 0, 0, 0, 0, 25.3, 0, 0]%								
		NOT-FOUND				p-troponiinii [ng/l]	3444	7299	[ 0, 0, 100, 0]%	[ 0, 0, 26.1, 0, 0, 0, 0, 0, 73.9]%								
		UNCHECKED	0	Unmapped		li-un�k�-o []	5222	8207	[ 100, 0, 0, 0]%	[ 0, 27.9, 0, 0, 0, 0, 0, 0, 72.1]%								
