new_omop_id	new_invalid_reason	status	OMOP_CONCEPT_ID	OMOP_CONCEPT_NAME	OMOP_QUANTITY	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS	message
		UNCHECKED	44813793	Dust mix specific IgE antibody measurement		s-pölyer [u/ml]	6853	7290	[ 0, 0, 100, 0]%	[ 0, 8.5, 24.3, 0, 0, 0, 10.5, 0, 56.7]%								
		UNCHECKED	0	Unmapped		u-bakt-vi []	4975	14779	[ 100, 0, 0, 0]%	[ 0, 0, 5.8, 0, 0, 0, 0, 0, 94.2]%								
		UNCHECKED	0	Unmapped		u-happamuusaste []	2596	5242	[ 0, 0, 100, 0]%	[ 0, 12.2, 17.7, 0, 0, 0, 0, 0, 70.1]%								
		UNCHECKED	3000067	Parathyrin.intact [Mass/volume] in Serum or Plasma	Mass Concentration	fp-pth [ng/l]	29039	121906	[ 0, 0, 100, 0]%	[ 0, 11, 44.2, 0, 0.9, 0, 23.2, 0, 20.6]%								
		NOT-FOUND				glom.suod.nopeusckd-epi [ml/min/173m2]	19545	25363	[ 0, 0, 100, 0]%	[ 0, 78.6, 0, 0, 21.4, 0, 0, 0, 0]%								
		NOT-FOUND				bakteeri,viljely,verestä []	1881	5261	[ 100, 0, 0, 0]%	[ 0.1, 0, 0, 0, 0, 0, 0, 0, 99.9]%								
		UNCHECKED	0	Unmapped		b-vrab-gr []	29664	64868	[ 100, 0, 0, 0]%	[ 0, 10.4, 0, 0, 0, 0, 0, 0, 89.6]%								
		UNCHECKED	0	Unmapped		blastit []	6925	14156	[ 100, 0, 0, 0]%	[ 0, 7, 0, 0, 0, 0, 0, 0, 93]%								
		UNCHECKED	0	Unmapped		s-puumab []	4979	5701	[ 100, 0, 0, 0]%	[ 0, 14.8, 0.2, 0, 0, 0, 0, 0, 85]%								
		UNCHECKED	0	Unmapped		f-baktvip []	13577	17267	[ 100, 0, 0, 0]%	[ 0, 37.8, 5.8, 0, 0, 0, 0, 0, 56.4]%								
		UNCHECKED	0	Unmapped		sopivuuskoe,verestä []	2799	5429	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		l-metmye []	3085	13256	[ 100, 0, 0, 0]%	[ 0, 1.1, 0, 0, 0, 0, 0, 0, 98.9]%								
		UNCHECKED	0	Unmapped		s-bio []	9934	11267	[ 100, 0, 0, 0]%	[ 0, 29.8, 0, 0, 0, 0, 0, 0, 70.2]%								
		UNCHECKED	0	Unmapped		s-leuabpr []	1979	8538	[ 100, 0, 0, 0]%	[ 0, 30, 0, 0, 0, 0, 0, 0, 70]%								
		UNCHECKED	0	Unmapped		p-larvvct []	5070	6540	[ 100, 0, 0, 0]%	[ 0, 41.3, 0.6, 0, 0, 0, 0, 0, 58.1]%								
		UNCHECKED	0	Unmapped		alb-o []	2077	8370	[ 100, 0, 0, 0]%	[ 0, 0, 12, 0, 0, 0, 0, 0, 88]%								
		UNCHECKED	0	Unmapped		fl-hiivavi []	5239	6976	[ 100, 0, 0, 0]%	[ 0, 20.1, 13.5, 0, 0, 0, 0, 0, 66.4]%								
		UNCHECKED	0	Unmapped		s-ige-pse []	4869	5036	[ 100, 0, 0, 0]%	[ 0, 13.3, 1.9, 0, 0, 0, 0, 0, 84.8]%								
		NOT-FOUND				keuhkosyöpäriski(tupakoivilla) []	15641	16625	[ 100, 0, 0, 0]%	[ 0, 0, 20, 0, 0, 0, 0, 0, 80]%								
		NOT-FOUND				maksanfibroosijakirroosiriski []	15192	16115	[ 100, 0, 0, 0]%	[ 0, 15.4, 5.2, 0, 0, 0, 0, 0, 79.4]%								
		NOT-FOUND				tyypin2diabetesriski []	15641	16625	[ 100, 0, 0, 0]%	[ 0, 14.5, 5.5, 0, 0, 0, 0, 0, 80]%								
		NOT-FOUND				bakteeri,seulontajaviljely []	3642	9911	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				b-hemoglobiini-a1c [mmol/m]	6862	7630	[ 0, 0, 100, 0]%	[ 0, 2.2, 30.1, 0, 0, 0, 0.2, 0, 67.6]%								
		UNCHECKED	0	Unmapped		p-hyyttek []	4574	12967	[ 100, 0, 0, 0]%	[ 0, 0.5, 0, 0, 0, 0, 0, 0, 99.5]%								
		UNCHECKED	0	Unmapped		ab-ph []	23504	266709	[ 0, 100, 0, 0]%	[ 0, 54.2, 1.4, 0, 15.6, 0, 25.7, 0, 3.2]%								
		NOT-FOUND				kilpirauhasentutkimuspaketti []	5448	6810	[ 100, 0, 0, 0]%	[ 0, 26.8, 0, 0, 0, 0, 0, 0, 73.2]%								
		UNCHECKED	0	Unmapped		e-abovarm []	4686	10066	[ 100, 0, 0, 0]%	[ 0, 6.1, 0, 0, 0, 0, 0, 0, 93.9]%								
		UNCHECKED	0	Unmapped		u-ctngnho []	12067	26368	[ 100, 0, 0, 0]%	[ 0, 0.8, 0, 0, 0, 0, 0, 0, 99.2]%								
		NOT-FOUND				sydäninfarktiriski []	15650	16636	[ 100, 0, 0, 0]%	[ 0, 16.8, 3.2, 0, 0, 0, 0, 0, 80]%								
		UNCHECKED	0	Unmapped		-piconho []	3668	5462	[ 100, 0, 0, 0]%	[ 0, 0.4, 0.1, 0, 0, 0, 0, 0, 99.5]%								
		UNCHECKED	0	Unmapped		lymf []	5545	26387	[ 0, 100, 0, 0]%	[ 0, 0.1, 33.7, 0, 0.3, 0, 0, 0, 65.9]%								
		UNCHECKED	0	Unmapped		s-koivue [u/ml]	5763	6384	[ 0, 0, 100, 0]%	[ 0, 17.4, 25.2, 0, 0, 0, 36.4, 0, 21]%								
		UNCHECKED	0	Unmapped		ab-ph []	4398	18325	[ 100, 0, 0, 0]%	[ 0, 0.3, 51.5, 0, 0, 0, 0, 0, 48.3]%								
		UNCHECKED	0	Unmapped		virtsanbakteeriviljely []	4794	8964	[ 100, 0, 0, 0]%	[ 0, 0.1, 3.5, 0, 0, 0, 0, 0, 96.3]%								
		NOT-FOUND				b-laktaatti,päivystystutkimus [mmol/l]	3143	11294	[ 0, 0, 100, 0]%	[ 0, 11.9, 21.6, 0, 0.3, 0, 4, 0, 62.2]%								
