concept_id	concept_code	concept_name	vocabulary_id	is_panel	has_component	has_property	has_method	has_scale_type	has_system	has_time_aspect
507398	1061531000000106	Laryngectomy TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507399	1061541000000102	Laryngectomy TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507400	1061561000000101	Learning Disability and Communication TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507401	1061571000000108	Learning Disability and Communication TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507402	1061581000000105	Learning Disability and Communication TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507403	1061591000000107	Learning Disability and Communication TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507404	1061601000000101	Mental Health Anxiety Disorders TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507405	1061611000000104	Mental Health Anxiety Disorders TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507406	1061641000000103	Mental Health Anxiety Disorders TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507407	1061651000000100	Mental Health TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507408	1061661000000102	Mental Health TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507409	1061671000000109	Mental Health TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507410	1061681000000106	Mental Health TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507411	1061691000000108	Mental Health TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507412	1061701000000108	Multifactorial Conditions TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507413	1061711000000105	Multifactorial Conditions TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507414	1061721000000104	Multifactorial Conditions TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507415	1061731000000102	Multifactorial Conditions TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507416	1061741000000106	Multifactorial Conditions TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507417	1061751000000109	Musculoskeletal TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507418	1061761000000107	Musculoskeletal TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507419	1061781000000103	Musculoskeletal TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
